	OstreococcusI	Micromonas	SynechococcusIV	Diatoms	ProchlorococcusHLI	Pelagophyceae	SynechococcusI	Bathycoccus	OstreococcusII	ProchlorococcusLLI	Cryptophyceae	Rappemonad	Prymnesiophyceae	Bolidophyceae	SynechococcusII	ProchlorococcusHLII	ASV357	Dictyochophyceae	Other plastid	Other Cyanobacteria	Chrysophyceae	Not assigned	Cruise	Station	depth	Temperature	name	position	Chao1Phyto	Totalphyto	TotalHet	Totalreads	phytoperc	hetperc	TChl_a
NAAMES1-14_S14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT32	3	5	4.2021	3/5m	11	NA	NA	NA	NA	NA	NA	1.091
NAAMES1-18_S16	0	0.041302932	0.528599349	0.036612378	0.001563518	0.008599349	0.336547231	0.005993485	0.001172638	0	0.003387622	0	0.004820847	0	0	0	0	0.001042345	0.029446254	0	0.000912052	0	AT32	3	25	7.2565	3/25m	12	29.5	7675	144837	152512	5.032390894	94.96760911	1.057
NAAMES1-19_S17	0.002997377	0.071187711	0.453228425	0.023354565	0	0.013613089	0.382914949	0.006619208	0	0	0.002497814	0	0.012863744	0	0	0	0	0.001998252	0.026851505	0	0.001373798	0.000499563	AT32	3	50	7.1725	3/50m	13	35	8007	163553	171560	4.667171835	95.33282817	1.285
NAAMES1-20_S18	0.0046706	0.460914454	0.052605703	0.247050147	0	0.045722714	0.022369715	0.041789577	0.002704031	0	0.031956735	0	0.021386431	0	0	0	0	0.019665683	0.02826942	0	0.012045231	0.008849558	AT32	3	75	6.9474	3/75m	14	66.42857143	4070	112062	116132	3.504632659	96.49536734	0.113
NAAMES1-21_S19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT32	3	100	6.8585	3/100m	15	NA	573	237197	237770	0.240989191	99.75901081	0.009
NAAMES1-25_S22	0.023143974	0.328524196	0.140742411	0.028103396	0.143898407	0.047415089	0.005485422	0.110309588	0.065825068	0.047415089	0.006311993	0.000225428	0.015329125	0	0.002254283	0.008866847	0	0.009392846	0.010595131	0.004358281	0	0.001803427	AT32	4	5	15.5539	4/5m	16	70.1	13310	130058	143368	9.283801127	90.71619887	0.336
NAAMES1-26_S23	0.032451166	0.367832388	0.110743541	0.02173913	0.129647133	0.055450536	0.002993069	0.100504096	0.071991178	0.043950851	0.007403907	0	0.02299937	0	0.002835539	0.007246377	0	0.008034026	0.008979206	0.001890359	0.00063012	0.002678009	AT32	4	25	15.5472	4/25m	17	57.8	6352	73115	79467	7.993255062	92.00674494	0.319
NAAMES1-27_S24	0.023542424	0.356296413	0.129246326	0.03665666	0.154526781	0.052930953	0	0.093537684	0.052140939	0.041554748	0.008058145	0	0.018170327	0	0.002054037	0.007742139	0	0.010586191	0.008532154	0.002370043	0	0.002054037	AT32	4	50	15.5209	4/50m	18	49.66666667	6331	64924	71255	8.884990527	91.11500947	0.342
NAAMES1-28_S25	0.020161817	0.285005872	0.13676106	0.033994519	0.140088738	0.083583453	0.004436905	0.092392014	0.048022968	0.045217278	0.034842751	0	0.031254078	0	0.002283701	0.008286572	0	0.012136239	0.010896516	0.009461047	0.000326243	0.000848232	AT32	4	75	15.5257	4/75m	19	87.46153846	15332	114162	129494	11.83993081	88.16006919	0.348
NAAMES1-29_S26	0.021170314	0.331351094	0.139628925	0.017602284	0.12416746	0.071360609	0	0.133682207	0.061607992	0.040675547	0.015937203	0	0.019505233	0	0	0.005946717	0	0.007136061	0.009276879	0	0	0.000951475	AT32	4	100	15.5159	4/100m	20	38	4204	38501	42705	9.844280529	90.15571947	0.183
NAAMES1-33_S30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT32	5	5	16.2912	5/5m	21	NA	NA	NA	NA	NA	NA	0.34
NAAMES1-34_S31	0.00576165	0.185787931	0.045082381	0.033458001	0.252299606	0.156575356	0.006267058	0.096633984	0.080764177	0.066916001	0.005963813	0	0.023349843	0	0.008895178	0.006165976	0	0.007378955	0.006772465	0.011523299	0	0.000404326	AT32	5	25	16.286	5/25m	22	67	9901	83059	92960	10.65081756	89.34918244	0.324
NAAMES1-35_S32	0.008958567	0.208345612	0.035598515	0.029586845	0.207461543	0.178876643	0.003477338	0.099015736	0.066305181	0.058112807	0.013084222	0	0.044085578	0	0.006483173	0.008133435	0	0.011551836	0.008310249	0.011787588	0	0.000825131	AT32	5	50	16.2953	5/50m	23	99.76923077	16975	97858	114833	14.78233609	85.21766391	0.342
NAAMES1-36_S33	0.002691273	0.168973472	0.034121492	0.031141869	0.252595156	0.181372549	0.003460208	0.090253749	0.056997309	0.069204152	0.010861207	0	0.04527105	0	0.008169935	0.013360246	0	0.010380623	0.00586313	0.009803922	0.000672818	0.004805844	AT32	5	75	16.4692	5/75m	24	87.1	10410	128208	138618	7.509847206	92.49015279	0.195
NAAMES1-37_S34	0	0.043557169	0.033445683	0.062743065	0.262120819	0.217267306	0.004148302	0.038371792	0.023334198	0.182006741	0.001037075	0	0.038112523	0.000777807	0	0	0	0.015037594	0.011926368	0.006222453	0.001814882	0.058076225	AT32	5	100	15.5419	5/100m	25	62.125	3863	214627	218490	1.768044304	98.2319557	0.011
NAAMES1-41_S37	0.01849642	0.160501193	0.164081146	0.048793423	0.079554495	0.028308141	0.010474675	0.045412357	0.164280032	0.019756033	0.007756563	0	0.008684699	0.000464068	0.141275524	0.065234686	0	0.003248475	0.006762132	0.026385574	0	0.000530363	AT32	6	5	17.1901	6/5m	26	83.36363636	15084	157673	172757	8.731339396	91.2686606	0.461
NAAMES1-42_S38	0.029837019	0.218240683	0.097641735	0.051984842	0.083771752	0.036606453	0.003384717	0.063021964	0.233986976	0.020786579	0.006217578	0	0.007836356	0	0.061439976	0.059269343	0	0.005518561	0.006695854	0.012508738	0	0.001250874	AT32	6	25	17.2185	6/25m	27	96	27185	181426	208611	13.03143171	86.96856829	0.44
NAAMES1-43_S39	0.036107927	0.234635394	0.102856891	0.042897452	0.070496429	0.041574817	0.003482938	0.067278018	0.258839609	0.018605061	0.007583106	0	0.010140199	0.000264527	0.043206066	0.042897452	0	0.007054052	0.007009964	0.004144255	0	0.000925844	AT32	6	50	17.321	6/50m	28	87.77272727	22682	139055	161737	14.02400193	85.97599807	0.08
NAAMES1-44_S40	0.027005947	0.26835332	0.066539924	0.035195476	0.077946768	0.055279321	0.001706152	0.072145852	0.255922784	0.025689773	0.024958565	0	0.012235546	0	0.013892951	0.045676124	0	0.004192259	0.009310715	0.002924832	0	0.001023691	AT32	6	75	17.3221	6/75m	29	82	20514	144090	164604	12.4626376	87.5373624	0.278
NAAMES1-45_S41	0.004052369	0.174875312	0.054862843	0.048316708	0.152431421	0.128428928	0.008104738	0.088840399	0.144950125	0.066396509	0.006546135	0	0.031483791	0	0	0.038341646	0	0.006857855	0.012157107	0.010910224	0	0.02244389	AT32	6	100	18.087	6/100m	30	58	3208	149696	152904	2.098048449	97.90195155	0.068
NAAMES1-49_S45	0.000207475	0.037404784	0.008091526	0.013930466	0.200065206	0.071282492	0	0.080885622	0.325409763	0.06218323	0.002460061	5.93E-05	0.015679184	0	0.034826166	0.121787842	0	0.003675272	0.00417914	0.016894395	5.93E-05	0.000918818	AT32	7	5	18.5744	7/5m	31	103.4	33745	139163	172908	19.51615888	80.48384112	0.426
NAAMES1-50_S46	0	0.023347665	0.00429957	0.012548745	0.286721328	0.074292571	0.000849915	0.075242476	0.228477152	0.109389061	0.00269973	0	0.017448255	0	0.022947705	0.118088191	0	0.00209979	0.00459954	0.015548445	0	0.00139986	AT32	7	25	18.3653	7/25m	32	81.11111111	20006	145126	165132	12.11515636	87.88484364	0.348
NAAMES1-51_S47	0	0.015450952	0	0.015989939	0.312342796	0.059647862	0	0.06512756	0.234459217	0.106000719	0.00242544	0	0.017157743	0	0.021289975	0.116870284	0	0.002964427	0.007905138	0.018954366	0.000269493	0.003144089	AT32	7	50	18.3501	7/50m	33	62.09090909	11136	137920	149056	7.471017604	92.5289824	0.269
NAAMES1-52_S48	0	0.018312102	0.00183121	0.017436306	0.292197452	0.074840764	0	0.064808917	0.238216561	0.104219745	0.003025478	0	0.021019108	0.000477707	0.024920382	0.105573248	0	0.00406051	0.009394904	0.015525478	0.000477707	0.00366242	AT32	7	75	18.326	7/75m	34	69.14285714	12564	129941	142505	8.816532753	91.18346725	0.272
NAAMES1-53_S49	0.005676289	0.028219267	0	0.04249108	0.257054817	0.137690561	0	0.06406098	0.160557898	0.101524489	0.00518975	0	0.028543626	0	0.021894259	0.103308466	0	0.006325008	0.022218618	0.006973727	0.000324359	0.007946805	AT32	7	100	17.8435	7/100m	35	70	6168	126281	132449	4.656886802	95.3431132	0.08
NAAMES2-1_S21	0	0.473123429	0	0.049563031	0	0.069316413	0.002873219	0.047767269	0	0	0.054710882	0.072189632	0.088950078	0.077337484	0	0	0.001556327	0.030408237	0.029091344	0	0.002753502	0.000359152	AT34	1	5	4.0331	1/5m	36	58.11111111	8355	58678	67033	12.46401026	87.53598974	1.777
NAAMES2-2_S22	0	0.505351761	0	0.042606256	0	0.054245038	0.003948872	0.050504001	0	0	0.054764626	0.064636808	0.08438117	0.081783228	0	0	0	0.030343968	0.025355918	0	0.001454848	0.000623506	AT34	1	25	4.0325	1/25m	37	62.11111111	9623	80403	90026	10.68913425	89.31086575	1.956
NAAMES2-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT34	1	50	3.8284	1/50m	38	NA	NA	NA	NA	NA	NA	0.557
NAAMES2-4_S37	0.000531161	0.529567989	0	0.059135977	0	0.032754958	0.0023017	0.057188385	0	0	0.039305949	0.011685552	0.092953258	0.097556657	0	0	0.000531161	0.03381728	0.038774788	0	0.003895184	0	AT34	1	75	3.5985	1/75m	39	57	5648	83834	89482	6.311883954	93.68811605	0.167
NAAMES2-5_S23	0.00248911	0.518357187	0	0.079651525	0	0.029247044	0.004355943	0.056004978	0	0	0.013067828	0	0.138145613	0.057249533	0	0	0	0.018046049	0.072806472	0	0.010578718	0	AT34	1	100	3.4687	1/100m	40	28	1607	50441	52048	3.087534583	96.91246542	0.217
NAAMES2-9_S24	0.021908585	0.240958433	0	0.234135628	0	0.049883886	0.019388288	0.024014834	0	0	0.057012728	0.074564799	0.074276765	0.043583143	0	0	0.050441952	0.018110137	0.090190642	0	0.001530181	0	AT34	2	5	5.9436	2/5m	41	143	55551	121751	177302	31.33128786	68.66871214	3.1
NAAMES2-10_S39	0.027351079	0.254338649	0	0.253635084	0	0.045028143	0.027175188	0.030018762	0	0	0.04461773	0.06024273	0.07000469	0.051067073	0	0	0.051360225	0.013045263	0.070942777	0	0.001172608	0	AT34	2	25	5.8397	2/25m	42	105.3333333	34116	218104	252220	13.52628658	86.47371342	2.764
NAAMES2-11_S40	0.016448871	0.436352006	0	0.197751988	0	0.01325048	0.026135429	0.044686101	0	0	0.041670474	0.000913826	0.043680892	0.098693229	0	0	0.024673307	0.012336654	0.038563465	0	0.004569131	0.000274148	AT34	2	50	4.6919	2/50m	43	76.33333333	10945	134056	145001	7.548223805	92.45177619	0.453
NAAMES2-13_S41	0.004126547	0.322460208	0	0.210257418	0	0.018864217	0.028099823	0.034191393	0	0	0.070937316	0.001965023	0.03910395	0.184122617	0	0	0	0.022204755	0.052466103	0	0.011200629	0	AT34	2	75	3.9808	2/75m	44	58.2	5089	159345	164434	3.094858728	96.90514127	0.135
NAAMES2-14_S42	0.00165502	0.413755057	0	0.133321074	0	0.011217359	0.013607944	0.047995587	0	0	0.090290548	0.002206694	0.032180949	0.191798455	0	0	0	0.026664215	0.02758367	0	0.007723428	0	AT34	2	100	3.8081	2/100m	45	53.11111111	5438	130746	136184	3.993126946	96.00687305	0.116
NAAMES2-17_S25	0.043630893	0.0777332	0.037612839	0.242728185	0	0.032096289	0.147943831	0.006519559	0	0	0.021564694	0.145937813	0.133400201	0.044633902	0	0	0.009528586	0.007522568	0.043630893	0	0.00551655	0	AT34	3	5	8.8869	3/5m	46	41.25	1994	80081	82075	2.429485227	97.57051477	3.469
NAAMES2-18_S26	0.022804867	0.065566349	0.002131472	0.320003773	0	0.035933226	0.016636801	0.010978025	0	0	0.033556541	0.223144393	0.197868528	0.014901443	0	0	0.003961143	0.0218806	0.028029803	7.55E-05	0.002527587	0	AT34	3	25	8.6423	3/25m	47	147.1666667	53015	194424	247439	21.42548264	78.57451736	4.326
NAAMES2-19_S44	0.027270474	0.084042641	0.001652756	0.342244443	0	0.0277663	0.015990414	0.01462689	0	0	0.028633997	0.218948847	0.173374101	0.013800512	0	0	0.009462028	0.018056359	0.021940336	0	0.002107264	8.26E-05	AT34	3	50	8.5828	3/50m	48	121.4	24202	126753	150955	16.03259249	83.96740751	2.646
NAAMES2-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT34	3	75	8.4693	3/75m	49	NA	NA	NA	NA	NA	NA	0.662
NAAMES2-21_S27	0.099451692	0.14823218	0.010966156	0.434297599	0	0.004348648	0.027793534	0.042352051	0	0	0.035545472	0.000567215	0.085271318	0.057288712	0	0	0.000945358	0.020986954	0.023633957	0	0.006050293	0.00226886	AT34	3	100	8.3215	3/100m	50	71.375	5291	201515	206806	2.558436409	97.44156359	0.123
NAAMES2-25_S48	0.365498469	0.219462402	0.012385165	0.254168084	0	0.013746172	0	0.050493365	0.002313712	0	0.045389588	0	0.025654985	0	0	0	0	0.003946921	0.005307928	0	0	0.001633209	AT34	4	5	15.4171	4/5m	51	86.85714286	14695	80632	95327	15.41535976	84.58464024	0.392
NAAMES2-26_S49	0.377005764	0.218154437	0.008776029	0.257828322	0	0.014124734	0	0.042997352	0.002232954	0	0.040816327	0	0.027834034	0	0	0	0.000103858	0.005452563	0.002752246	0	0.000363504	0.001557875	AT34	4	25	15.4351	4/25m	52	76.5	19263	84654	103917	18.53690926	81.46309074	0.388
NAAMES2-27_S29	0.39056475	0.224075279	0.010123931	0.244989606	0	0.012948476	0.000412574	0.043177454	0.002189816	0	0.040813088	0.000238023	0.017423317	0	0	0	0	0.007315254	0.004855678	3.17E-05	0.000253892	0.000587125	AT34	4	50	15.4286	4/50m	53	92.71428571	63021	164299	227320	27.72347352	72.27652648	0.395
NAAMES2-28_S30	0.363192771	0.238975904	0.008192771	0.223373494	0	0.018554217	0	0.04939759	0.001746988	0	0.045301205	0	0.041626506	0	0	0	0	0.004216867	0.004156627	0	0.000481928	0.000783133	AT34	4	75	15.4367	4/75m	54	57.11111111	16602	59117	75719	21.92580462	78.07419538	0.406
NAAMES2-29_S50	0.362682365	0.206142821	0.016278475	0.277911441	0	0.016585616	0	0.039314052	0.003276171	0	0.03880215	0.000255951	0.027693883	0.000358331	0	0	0	0.006398771	0.00291784	0	0.000204761	0.001177374	AT34	4	100	15.4393	4/100m	55	70	19535	128785	148320	13.17084682	86.82915318	0.389
NAAMES2-33_S31	0.388822437	0.278980989	0.006540605	0.163718729	0	0.015066297	0	0.065227903	0.001756038	0	0.04524979	0.000279948	0.025271677	0	0	0	0	0.004275571	0.00440282	0.000127249	0.000178149	0.000101799	AT34	4	5	15.4462	4/5m	56	120.1666667	39297	63681	102978	38.16057799	61.83942201	0.516
NAAMES2-34_S32	0.363736606	0.238128341	0.00872546	0.257544886	0	0.013999089	0.000479421	0.046000431	0.001366349	0	0.03516552	0.000215739	0.026056524	0.000119855	0	0	0	0.003835367	0.003763454	0	0.000311624	0.000551334	AT34	4	25	15.4478	4/25m	57	80.75	41719	93747	135466	30.79665746	69.20334254	0.518
NAAMES2-35_S33	0.333913784	0.201532389	0.012769909	0.334513583	0	0.011647705	0.00058045	0.043030725	0.001025462	0	0.03138302	3.87E-05	0.018593762	0	0	0	0.000135438	0.004933829	0.004856435	0	0.000251529	0.000793282	AT34	4	50	15.4522	4/50m	58	71.23076923	51686	155546	207232	24.94112878	75.05887122	0.525
NAAMES2-36_S54	0.399343621	0.248865303	0.007471545	0.224495496	0	0.010124991	0	0.050904266	0.002513791	0	0.032260317	0	0.015012918	0	0	0	0	0.003631031	0.004329307	0	0.000349138	0.000698275	AT34	4	75	15.4549	4/75m	59	49.14285714	14321	43296	57617	24.85551139	75.14448861	0.523
NAAMES2-37_S34	0.361526718	0.18919084	0.017587786	0.311083969	0	0.013679389	0	0.037801527	0.002381679	0	0.03578626	0.000305344	0.019175573	0	0	0	0	0.005557252	0.00421374	0	0.00048855	0.001221374	AT34	4	100	15.4453	4/100m	60	56.25	16375	108185	124560	13.14627489	86.85372511	0.381
NAAMES2-41_S1	0.446113595	0.277575723	0.005002659	0.121961388	0	0.013570433	0	0.053721087	0.001495048	0	0.043945776	0	0.023547001	0	0	0	0	0.005577678	0.007317108	0	0	0.000172505	AT34	4	5	15.6176	4/5m	61	86.85714286	69563	79858	149421	46.55503577	53.44496423	0.726
NAAMES2-42_S2	0.458763363	0.263594496	0.009701106	0.125596493	0	0.012549477	0.000332926	0.052509895	0.00176636	0	0.043335923	0.000166463	0.020234528	8.32E-05	0	0	0	0.00583546	0.005188103	0	4.62E-05	0.000295935	AT34	4	25	15.4653	4/25m	62	88.76923077	108136	128667	236803	45.66496201	54.33503799	0.868
NAAMES2-43_S3	0.483929966	0.23134371	0.013907676	0.159976376	0	0.014498276	0	0.042923279	0.001924213	0	0.022804778	0.000152413	0.01916592	0.000190516	0	0	0	0.004896264	0.003029206	0	5.72E-05	0.001200251	AT34	4	50	15.4526	4/50m	63	77.42857143	52493	139005	191498	27.41177454	72.58822546	0.737
NAAMES2-44_S4	0.488242413	0.230999217	0.013193176	0.164155376	0	0.012410127	0	0.041382911	0.0020644	0	0.02173552	0.000142372	0.018033837	0	0	0	0	0.004366087	0.002562703	7.12E-05	7.12E-05	0.00056949	AT34	4	75	15.4528	4/75m	64	79.5	42145	110807	152952	27.55439615	72.44560385	0.654
NAAMES2-45_S5	0.452513511	0.227641835	0.019282475	0.191901361	0	0.012465713	0	0.039950029	0.002362782	0	0.026289346	0.000217267	0.018196138	0	0	0	0	0.005268733	0.003231851	0	0	0.00067896	AT34	4	100	15.4542	4/100m	65	61.33333333	36825	157202	194027	18.97931731	81.02068269	0.517
NAAMES2-49_S8	0.527501862	0.270063196	0.007521625	0.056176212	0	0.014999004	0.000331836	0.046457094	0.000752162	0	0.043942511	0.000184354	0.020360006	0.000199102	0	0	0	0.006032048	0.005095532	0	0.000221224	0.000162231	AT34	4	5	15.661	4/5m	66	115.2727273	135609	94775	230384	58.86216057	41.13783943	1.276
NAAMES2-50_S9	0.565258351	0.222500973	0.017397448	0.093550964	0	0.008867681	0.000501751	0.03852219	0.00109566	0	0.024759876	0.000174077	0.01786848	0.000102398	0	0	0	0.005898134	0.002918348	0	7.17E-05	0.000511991	AT34	4	25	15.5157	4/25m	67	60.5	97662	131198	228860	42.67325002	57.32674998	1.216
NAAMES2-51_S10	0.471647779	0.230232409	0.025375077	0.175832853	0	0.011332352	0.000448172	0.040186098	0.002838423	0	0.02038116	0	0.013615895	0.000170732	0	0	0	0.004396355	0.001835371	0	0.000234757	0.001472565	AT34	4	50	15.4365	4/50m	68	100.4285714	46859	203162	250021	18.74202567	81.25797433	0.601
NAAMES2-52_S11	0.429492512	0.219789933	0.023242512	0.219113977	0	0.013675125	0	0.042481281	0.002911814	0	0.022930532	0	0.015858985	0	0	0	0	0.006447587	0.002131864	0	0	0.001923877	AT34	4	75	15.4215	4/75m	69	53.66666667	19234	106449	125683	15.30358123	84.69641877	0.381
NAAMES2-53_S12	0.486482759	0.216758621	0.022862069	0.14062069	0	0.014206897	0	0.042551724	0.003413793	0	0.033965517	0.000310345	0.024482759	0.000103448	0	0	0	0.00837931	0.003103448	0.000103448	0.000172414	0.002482759	AT34	4	100	15.4187	4/100m	70	144.6	29002	241134	270136	10.73607368	89.26392632	0.266
NAAMES2-57_S16	0.202937026	0.166032862	0.261366626	0.065843917	0	0.059649375	0.068474803	0.072947311	0.011815073	0	0.016765923	0.000287006	0.034201526	0.000908852	0.00956686	0	0.004568176	0.011910741	0.009255937	0.000932769	0.002128626	0.000406592	AT34	5	5	16.0065	5/5m	71	145.1666667	41815	171799	213614	19.57502785	80.42497215	0.977
NAAMES2-58_S17	0.172745151	0.145749531	0.333780281	0.063958166	0	0.049611156	0.071422186	0.06994726	0.008626084	0	0.012469831	0.000357558	0.036158041	0.000581032	0.011888799	0	0.00330741	0.00925181	0.008179136	0.000804505	0.0008492	0.000312863	AT34	5	25	16.0067	5/25m	72	95.61538462	22380	99604	121984	18.34666842	81.65333158	0.982
NAAMES2-59_S18	0.132771644	0.132190587	0.223997676	0.100813481	0	0.076699593	0.080185938	0.049099361	0.017431726	0	0.025566531	0	0.040674027	0	0.035735038	0	0.063625799	0.007844277	0.00929692	0.001162115	0	0.002905288	AT34	5	50	16.0374	5/50m	73	51.5	3446	82219	85665	4.022646355	95.97735365	0.245
NAAMES2-60_S57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT34	5	75	15.5267	5/75m	74	NA	163	14294	14457	1.127481497	98.8725185	0.116
NAAMES2-61_S19	0.072552448	0.131555944	0.152972028	0.20541958	0	0.096153846	0.04763986	0.038461538	0.023164336	0	0.05201049	0.001311189	0.033216783	0	0	0	0.092657343	0.01486014	0.00743007	0.002185315	0	0.028409091	AT34	5	100	14.9758	5/100m	75	59.25	2290	176012	178302	1.284337809	98.71566219	0.024
N3S1-5m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	1	5	22.0183	1/5m	141	NA	NA	NA	NA	NA	NA	0.094
N3S1-25_S2	0	0	0	0.006361323	0.690245971	0.008651399	0	0	0	0.017302799	0.000254453	0.001357082	0.019677693	0	0.025445293	0.151823579	0	0.029770992	0.003392706	0.018066158	0.01942324	0.008227311	AT38	1	25	21.8609	1/25m	142	50.11111111	11790	34466	46256	25.48858526	74.51141474	0.112
N3S1-50_S3	0.000948497	0.000284549	0.006924025	0.000569098	0.271933985	0.030351892	0	0	0.021056625	0.59423314	0.000474248	0	0.027696102	0	0	0.00275064	0	0.015839894	0.005785829	0.013658352	0.006829176	0.000663948	AT38	1	50	18.5844	1/50m	143	38	10545	24104	34649	30.43377875	69.56622125	0.276
N3S1-75_S4	0.026935313	0.009331919	0.083138918	0.017603393	0.011028632	0.110074231	0	0.022269353	0.094379639	0.543160127	0	0.000636267	0.029268293	0	0.018663839	0	0	0.003393425	0.002120891	0.011028632	0	0.016967126	AT38	1	75	17.4835	1/75m	144	33.2	4717	31176	35893	13.14183824	86.85816176	0.371
N3S1-100_S5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT38	1	100	17.3468	1/100m	145	NA	1347	39127	40474	3.32806246	96.67193754	0.149
N3S1a-5_S11	0	0.001084599	0	0.002033623	0.0204718	0.003660521	0	0.001220174	0.000542299	0.004338395	0.003389371	0	0.006643167	0.001220174	0.052467462	0.848698482	0	0.00867679	0	0.02074295	0.010032538	0.014777657	AT38	1A	5	23.1533	1A/5m	136	34.66666667	7378	22643	30021	24.57613004	75.42386996	0.17
N3S1a-25_S12	0	0.005705902	0	0.007010108	0.022497555	0.008803391	0	0.002771438	0.012063906	0.014672318	0.001956309	0.000326052	0.006847082	0	0.03342028	0.813172481	0	0.015650473	0.000815129	0.011248777	0.015650473	0.027388327	AT38	1A	25	23.4658	1A/25m	137	44.36363636	6138	25048	31186	19.68190855	80.31809145	0.245
